,id,price,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,host_response_time,host_since,cancellation_policy,neighbourhood_cleansed,air_con,check_in,cooking,childcare,entertainment,luxury,nature,clothing,accessibility,safety,internet,comfort,essentials,pet_friendly,smoking
0,49091,84.0,Singapore,103.7958,1.44255,94.0,1,180,0.0,0.0,1,1.0,1.0,1.0,apartment,Private room,365,0,0,2.0,2010-10-20,3,Woodlands,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,50646,80.0,Singapore,103.78520999999999,1.33235,91.0,18,90,0.0,0.0,2,1.0,1.0,1.0,apartment,Private room,365,0,0,2.0,2010-09-08,2,Bukit Timah,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2,56334,70.0,Singapore,103.79666999999999,1.44246,98.0,20,6,0.0,0.0,1,1.0,1.0,1.0,apartment,Private room,365,0,0,2.0,2010-10-20,3,Woodlands,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3,71609,207.0,Singapore,103.95711999999999,1.34541,89.0,20,1,279.0,56.0,6,1.0,2.0,3.0,house,Private room,365,1,0,4.0,2011-01-29,3,Tampines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
4,71896,95.0,Singapore,103.95963,1.3456700000000001,83.0,24,1,140.0,28.0,3,0.5,1.0,1.0,house,Private room,365,1,0,4.0,2011-01-29,2,Tampines,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
5,71903,105.0,Singapore,103.96103000000001,1.34702,88.0,48,1,140.0,28.0,3,0.5,1.0,2.0,house,Private room,358,1,0,4.0,2011-01-29,2,Tampines,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6,71907,209.0,Singapore,103.96337,1.34348,82.0,29,1,279.0,70.0,6,1.0,1.0,7.0,house,Private room,174,1,0,4.0,2011-01-29,2,Tampines,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
7,241503,52.0,Singapore,103.91277,1.3239100000000001,99.0,176,90,200.0,0.0,1,1.0,1.0,1.0,house,Private room,248,1,1,4.0,2011-08-25,2,Bedok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,241508,54.0,Singapore,103.91277,1.3239100000000001,99.0,199,90,200.0,0.0,2,1.0,1.0,2.0,house,Private room,357,1,1,4.0,2011-08-25,2,Bedok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,241510,40.0,Singapore,103.91277,1.3239100000000001,98.0,236,90,250.0,0.0,1,1.0,1.0,1.0,house,Private room,330,1,1,4.0,2011-08-25,2,Bedok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,275343,49.0,Singapore,103.80814000000001,1.28875,88.0,19,90,152.0,65.0,1,,1.0,1.0,apartment,Private room,315,0,0,4.0,2011-11-24,2,Bukit Merah,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
11,275344,40.0,Singapore,103.81099,1.28837,98.0,11,90,250.0,65.0,1,0.5,1.0,0.0,apartment,Private room,328,0,0,4.0,2011-11-24,2,Bukit Merah,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
12,294281,63.0,Singapore,103.83816,1.31125,89.0,133,2,147.0,42.0,2,1.0,1.0,1.0,apartment,Private room,365,0,0,4.0,2011-12-20,2,Newton,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,301247,40.0,Singapore,103.88958000000001,1.31724,90.0,103,10,150.0,0.0,1,1.0,1.0,1.0,apartment,Private room,89,1,0,2.0,2011-12-31,2,Geylang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
14,324945,45.0,Singapore,103.80896,1.28976,84.0,14,90,200.0,55.0,1,0.0,1.0,1.0,apartment,Private room,272,0,0,4.0,2011-11-24,2,Bukit Merah,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
15,330089,40.0,Singapore,103.81244000000001,1.28677,93.0,10,90,150.0,65.0,1,2.0,0.0,1.0,apartment,Private room,362,0,0,4.0,2011-11-24,2,Bukit Merah,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
16,330095,39.0,Singapore,103.81087,1.2853700000000001,100.0,3,180,150.0,65.0,1,4.0,1.0,1.0,apartment,Private room,336,0,0,4.0,2011-11-24,2,Bukit Merah,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
17,344803,49.0,Singapore,103.95951,1.34943,92.0,58,2,140.0,28.0,1,1.5,1.0,1.0,house,Private room,364,1,0,4.0,2011-01-29,2,Tampines,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,355955,80.0,Singapore,103.90231999999999,1.3142,,0,90,0.0,0.0,2,1.0,1.0,1.0,house,Private room,174,1,0,0.0,2012-02-16,3,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
19,369141,60.0,Singapore,103.83759,1.3115,90.0,92,2,150.0,42.0,2,1.0,1.0,1.0,other,Private room,351,0,0,4.0,2011-12-20,2,Newton,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20,369145,60.0,Singapore,103.83805,1.31159,88.0,165,2,150.0,42.0,2,1.0,1.0,1.0,house,Private room,365,0,0,4.0,2011-12-20,2,Newton,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,395191,56.0,Singapore,103.83561999999999,1.29345,86.0,27,90,137.0,0.0,1,0.0,1.0,1.0,apartment,Private room,364,0,0,2.0,2012-03-20,2,River Valley,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
22,423875,105.0,Singapore,103.9592,1.34838,89.0,18,1,140.0,28.0,3,1.0,1.0,2.0,house,Private room,333,1,0,4.0,2011-01-29,3,Tampines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
23,468782,56.0,Singapore,103.86446,1.3628,94.0,82,2,140.0,15.0,2,1.5,1.0,0.0,house,Private room,365,1,0,0.0,2012-05-09,2,Serangoon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
24,481789,38.0,Singapore,103.93238000000001,1.34816,,0,180,1300.0,0.0,2,1.0,1.0,1.0,apartment,Private room,365,0,0,1.0,2012-05-16,2,Tampines,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
25,553229,59.0,Singapore,103.71139000000001,1.34135,93.0,28,2,280.0,25.0,1,1.0,1.0,1.0,apartment,Private room,352,1,0,4.0,2011-08-28,2,Jurong West,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
